,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pInhibition
0,CHEMBL1089750,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1,active,311.422,3.3188000000000013,1.0,2.0,7.721246399047171
1,CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,active,311.422,3.3188000000000013,1.0,2.0,7.508638306165727
3,CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,inactive,311.422,3.3188000000000013,1.0,2.0,7.236572006437063
4,CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,active,327.87700000000007,3.8331000000000026,1.0,2.0,7.585026652029182
5,CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,active,372.32800000000003,3.9422000000000033,1.0,2.0,7.619788758288394
6,CHEMBL432343,CC12CC[C@@H](C1)C(C)(C)[C@H]2NS(=O)(=O)c1ccc(F)cc1,active,311.422,3.3188000000000013,1.0,2.0,7.619788758288394
7,CHEMBL2114129,CC1(C)[C@@H]2CC[C@@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1,active,311.422,3.3188000000000013,1.0,2.0,7.619788758288394
8,CHEMBL182896,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)CC1,inactive,373.47400000000016,3.608100000000003,0.0,4.0,7.075720713938118
9,CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,active,244.265,3.6808000000000023,1.0,1.0,7.522878745280337
10,CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,inactive,313.155,4.987600000000002,1.0,1.0,7.060480747381382
11,CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,inactive,313.155,4.987600000000002,1.0,1.0,7.1249387366083
12,CHEMBL197456,CC(C(=O)O)c1ccc(-c2ccccc2Cl)c(F)c1,active,278.71,4.334200000000002,1.0,1.0,7.886056647693163
13,CHEMBL194098,CC(C(=O)O)c1ccc(-c2cccc(Cl)c2)c(F)c1,inactive,278.71,4.334200000000002,1.0,1.0,7.236572006437063
14,CHEMBL193415,CC(C(=O)O)c1ccc(-c2ccc(Cl)cc2)c(F)c1,inactive,278.71,4.334200000000003,1.0,1.0,7.259637310505756
15,CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,inactive,326.41099999999994,5.728500000000004,1.0,1.0,7.102372908709558
17,CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,inactive,312.26199999999994,4.699600000000003,1.0,1.0,7.221848749616356
18,CHEMBL194686,CC(C(=O)O)c1ccc(-c2ccccc2C(F)(F)F)c(F)c1,active,312.262,4.699600000000002,1.0,1.0,7.6020599913279625
19,CHEMBL194274,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,inactive,300.35400000000004,4.895500000000003,1.0,2.0,7.017728766960431
20,CHEMBL371875,CC(C(=O)O)c1ccc(-c2ccsc2)c(F)c1,active,250.29399999999998,3.742300000000002,1.0,2.0,7.3979400086720375
21,CHEMBL194645,CC(C(=O)O)c1ccc(-c2ccncc2)c(F)c1,active,245.253,3.075800000000001,1.0,2.0,7.958607314841775
22,CHEMBL196321,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,inactive,274.29099999999994,3.689400000000002,1.0,2.0,7.173925197299173
24,CHEMBL1394,CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,active,260.26399999999995,3.386400000000002,2.0,2.0,7.568636235841013
25,CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,inactive,342.41,5.392300000000004,1.0,2.0,7.119186407719209
26,CHEMBL197202,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,inactive,336.362,5.053400000000004,2.0,2.0,7.1249387366083
27,CHEMBL426291,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(F)(F)F,inactive,362.26899999999995,5.579300000000003,1.0,1.0,7.2441251443275085
28,CHEMBL196691,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,active,294.27199999999993,4.560500000000003,1.0,1.0,8.698970004336019
29,CHEMBL194760,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1,active,256.276,3.608900000000003,1.0,1.0,7.3979400086720375
30,CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,inactive,324.2730000000001,4.627700000000002,1.0,1.0,7.259637310505756
31,CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,inactive,325.1660000000001,4.915700000000002,1.0,1.0,7.102372908709558
33,CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,inactive,366.4760000000001,6.292700000000005,1.0,1.0,7.1249387366083
34,CHEMBL193634,O=C(O)C1(c2ccc(-c3ccc(C4CCOCC4)cc3)c(F)c2)CC1,inactive,340.39400000000006,4.502900000000004,1.0,2.0,7.2839966563652006
35,CHEMBL194692,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,inactive,326.289,4.873700000000003,1.0,1.0,7.236572006437063
36,CHEMBL364738,CC(C)(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,inactive,340.438,5.902600000000005,1.0,1.0,7.113509274827518
37,CHEMBL194838,O=C(O)C1(c2ccc(-c3ccc(C4CCCCC4)cc3)c(F)c2)CC1,inactive,338.422,5.6566000000000045,1.0,1.0,7.221848749616356
38,CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,inactive,348.3730000000001,4.981500000000002,2.0,2.0,7.00436480540245
39,CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,inactive,366.3630000000001,5.120600000000003,2.0,2.0,7.096910013008056
